Company   ,Number of single-use bags
Tesco Stores Ltd,1147121371
Ocado Retail Limited,903515626
The Co-operative Group,665578205
Wm Morrison Supermarkets PLC,649812720
Asda Stores Limited,556131105
Iceland Foods Ltd,277807350
Aldi Stores Ltd,258766806
Marks and Spencer Group plc,254429301
Waitrose Ltd,233526102
Sainsbury's,186725611
Poundland Limited ,149782979
Wilko Retail Limited,110644415
One Stop Stores Ltd,62659865
Sportswift Ltd T/A Card Factory,57652692
Farmfoods Limited,57596887
Lidl UK GmbH,56685713
TJX Europe,55008214
Greggs plc,50149189
H&M Hennes & Mauritz UK and Ireland Ltd,47399832.6
The Southern Co-operative,46650303
Next retail Ltd,46263155
John Lewis plc,45804421
The Midcounties Co-operative,42891205
JD Sports fashion PLC,38365596
Central England Co-Operative Society,36746345
River Island Clothing Co Ltd,35975455
Savers Health & Beauty Limited,34515172
SSP UK Limited,27273337
Poundworld Retail Limited,25900148
Poundstretcher Ltd,25526128
A F Blakemore & Son Ltd,23954928
Lincolnshire Cooperative Ltd,22675934
CDS Superstores International LTD T/A The range,20938597
Argos,16637147
C and J Clarks International Limited,13613738
Smyths Toys UK Limited,11566573
McColls Retail Group,11490143
Superdrug Stores plc,10796559
Pets at Home Limited,9340605
Dunelm (Soft Furnishings) Ltd,9195481
House of Fraser Stores Ltd,8902511
Deichmann Shoes UK Ltd,8845990
WH Smith plc,8569957
E H Booth & Co Limited,8022864
Heart of England Co-operative Society Limited,7397194
Coopland and Son (Scarborough) Ltd,6718644
Robert Dyas Holdings Limited,6591019
Mackays Stores Ltd,6179175
Bonmarche Limited,6095435
Thorntons Ltd,6082197
Mothercare PLC,6064127
Frozen Value Ltd,6001785
Debenhams Retail Ltd,5899043
Hobbycraft Trading Ltd,5841923
Ryman Limited,5707534
Tiger Retail Ltd,5361303
The Original Factory Shop Ltd,5314855
The Disney Store Ltd,5245653
HMV Retail Ltd,5200606
B&Q,4535340
Sue Ryder,4412610
Sayers The Bakers Limited,4375746
Welcome Break Group Limited,4367564
QD Commercial Group Holdings Limited,4220148
Company Shop Ltd,4188024
Nike Retail UK (a UK establishment of Nike Retail B.V.),3860443
Krispy Kreme UK Ltd,3604727
Cancer Research UK,3550794
Cook Trading Ltd,2985509
Birds (Derby) Ltd,2771564
Roys (Wroxham) Limited,2766190
Haven Holidays,2697246
Lloyds Pharmacy Ltd,2609373
Radstock Co-operative Society Limited,2577295
Menkind Limited,2572811
Hamleys of London Limited,2511883
Smiggle UK Limited,2490127
Choice Discount Stores Limited,2283808
Decathlon,2184816
Quality Save,2139381
Game Retail Limited,2097794
Homebase (HHGL Ltd),2068006
Age UK Trading CIC,2066171
Warner Bros. Studios Leavesden Ltd.,1878525
